"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:41:36 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp03_+ecoengineer
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"Layer 1 Biofouling complexity","Epifauna Complexity"
"<HEADER extra/>"
Data,"Average regional biomass by group (t/km^2)"
Area,"Region 1"
Number_of_cells,56
"<HEADER end/>"

TimeStep,"big fish","medium fish","small fish","mobile inverts","sessile epifauna",zooplankton,phytoplankton,macrolagae,detritus
138,0.518415,2.682594,4.724529,10.88411,47.58409,75.23826,60.68726,264.0378,382.3358
139,0.5183895,2.682419,4.724744,10.88365,47.58533,75.23767,60.68735,264.0399,382.3367
140,0.5183648,2.682204,4.724967,10.88323,47.58652,75.2371,60.68751,264.0421,382.3376
141,0.5183412,2.681952,4.725196,10.88287,47.58766,75.23652,60.68769,264.0442,382.3385
142,0.5183181,2.681665,4.725434,10.88255,47.58874,75.23597,60.6879,264.0462,382.3397
143,0.5182959,2.681345,4.725674,10.88228,47.58976,75.23545,60.68814,264.0482,382.341
144,0.5182742,2.680994,4.725918,10.88206,47.59073,75.23492,60.6884,264.0502,382.3423
145,0.5182531,2.680613,4.726166,10.88187,47.59164,75.23444,60.68871,264.0521,382.3438
146,0.5182328,2.680206,4.726414,10.88173,47.59247,75.23396,60.68903,264.054,382.3455
147,0.5182127,2.679775,4.726662,10.88163,47.59325,75.23352,60.68938,264.0557,382.3472
148,0.518193,2.679321,4.726908,10.88157,47.59394,75.23315,60.68973,264.0574,382.3489
149,0.5181739,2.678846,4.727154,10.88154,47.59461,75.2328,60.69012,264.059,382.351
150,0.518155,2.678354,4.727395,10.88155,47.5952,75.23252,60.69053,264.0605,382.3529
151,0.5181364,2.677845,4.727631,10.88158,47.59573,75.23225,60.69092,264.0621,382.3548
152,0.5181181,2.677322,4.727864,10.88165,47.5962,75.23204,60.69132,264.0634,382.3569
153,0.5180998,2.676788,4.728088,10.88174,47.59662,75.23187,60.69174,264.0647,382.3589
154,0.5180819,2.676244,4.728307,10.88186,47.597,75.23175,60.69216,264.0659,382.3609
155,0.5180638,2.675693,4.72852,10.882,47.59731,75.23167,60.69257,264.0671,382.363
156,0.518046,2.675137,4.728724,10.88217,47.5976,75.23164,60.69298,264.0681,382.3651
157,0.5180279,2.674578,4.728919,10.88236,47.59785,75.23164,60.69337,264.0691,382.3671
158,0.51801,2.674018,4.729105,10.88257,47.59805,75.23169,60.69376,264.0699,382.369
159,0.517992,2.673459,4.729282,10.8828,47.59821,75.23177,60.69412,264.0707,382.371
160,0.5179737,2.672903,4.729449,10.88304,47.59835,75.23189,60.69447,264.0714,382.3729
161,0.5179553,2.672351,4.729606,10.88331,47.59845,75.23205,60.6948,264.072,382.3746
162,0.5179369,2.671806,4.729753,10.88359,47.59852,75.23222,60.69511,264.0725,382.3763
163,0.5179181,2.671268,4.729889,10.88388,47.59858,75.23241,60.6954,264.0729,382.3777
164,0.5178992,2.670739,4.730016,10.88418,47.59861,75.23262,60.69565,264.0733,382.3793
165,0.5178798,2.67022,4.730134,10.8845,47.59863,75.23286,60.69589,264.0736,382.3806
166,0.5178602,2.669714,4.730243,10.88483,47.59863,75.23309,60.69611,264.0738,382.3819
167,0.5178405,2.66922,4.730341,10.88517,47.59861,75.23335,60.69629,264.0739,382.3829
168,0.5178203,2.668741,4.730428,10.88551,47.59856,75.23362,60.69645,264.074,382.384
169,0.5177999,2.668277,4.730507,10.88587,47.59849,75.23387,60.6966,264.0739,382.3848
170,0.5177792,2.667829,4.73058,10.88623,47.59844,75.23413,60.69671,264.0739,382.3855
171,0.5177579,2.667399,4.730642,10.8866,47.59835,75.23438,60.69678,264.0738,382.3861
172,0.5177363,2.666987,4.730698,10.88697,47.59824,75.23463,60.69685,264.0736,382.3866
173,0.5177144,2.666594,4.730745,10.88735,47.59814,75.23488,60.6969,264.0734,382.387
174,0.517692,2.66622,4.730785,10.88774,47.598,75.23512,60.69692,264.073,382.3872
175,0.5176695,2.665867,4.730817,10.88812,47.59787,75.23533,60.69691,264.0726,382.3874
176,0.5176464,2.665535,4.730844,10.88851,47.59771,75.23553,60.69689,264.0722,382.3874
177,0.517623,2.665224,4.730865,10.8889,47.59753,75.23573,60.69687,264.0718,382.3873
178,0.5175992,2.664935,4.730878,10.88929,47.59734,75.23594,60.69681,264.0713,382.3872
179,0.5175751,2.664667,4.730887,10.88968,47.59714,75.2361,60.69675,264.0707,382.387
180,0.5175506,2.664422,4.730892,10.89007,47.59692,75.23627,60.69667,264.0701,382.3866
181,0.5175258,2.664198,4.730893,10.89046,47.59667,75.23637,60.69659,264.0695,382.3862
182,0.5175006,2.663998,4.730887,10.89084,47.59642,75.23651,60.6965,264.0688,382.3857
183,0.5174751,2.66382,4.730878,10.89121,47.59616,75.23662,60.6964,264.0681,382.3853
184,0.5174492,2.663665,4.730865,10.89159,47.59585,75.23671,60.6963,264.0675,382.3846
185,0.5174233,2.663532,4.730849,10.89195,47.59555,75.2368,60.6962,264.0667,382.3841
186,0.5173968,2.663422,4.73083,10.8923,47.59521,75.23689,60.6961,264.0659,382.3835
187,0.5173701,2.663333,4.730808,10.89265,47.59488,75.23695,60.69598,264.0651,382.3829
188,0.5173432,2.663267,4.730782,10.89299,47.59452,75.23705,60.69587,264.0642,382.3821
189,0.5173162,2.663222,4.730754,10.89332,47.59415,75.23706,60.69578,264.0634,382.3815
190,0.5172887,2.663199,4.730725,10.89364,47.59375,75.23714,60.69566,264.0626,382.3807
191,0.5172611,2.663196,4.730693,10.89394,47.59336,75.23719,60.69555,264.0617,382.3802
192,0.5172334,2.663214,4.730659,10.89423,47.59295,75.23724,60.69546,264.0608,382.3794
193,0.5172055,2.663252,4.730624,10.8945,47.59253,75.2373,60.69534,264.06,382.3787
194,0.5171775,2.663309,4.730587,10.89476,47.59209,75.23734,60.69525,264.059,382.378
195,0.5171493,2.663386,4.730548,10.89501,47.59166,75.23737,60.69514,264.0582,382.3774
196,0.5171209,2.66348,4.730508,10.89524,47.59121,75.23741,60.69505,264.0573,382.3767
197,0.5170926,2.663593,4.730467,10.89544,47.59077,75.23745,60.69497,264.0565,382.376
198,0.5170642,2.663722,4.730426,10.89564,47.59033,75.2375,60.69488,264.0556,382.3753
199,0.5170358,2.663867,4.730383,10.89581,47.58987,75.23756,60.6948,264.0547,382.3747
200,0.5170074,2.664028,4.73034,10.89597,47.58944,75.23762,60.69472,264.0539,382.3741
201,0.5169788,2.664203,4.730297,10.8961,47.589,75.23768,60.69463,264.053,382.3735
202,0.5169503,2.664391,4.730253,10.89622,47.58855,75.23773,60.69456,264.0522,382.373
203,0.516922,2.664593,4.730208,10.89631,47.58813,75.23781,60.69448,264.0515,382.3725
204,0.5168936,2.664807,4.730165,10.89639,47.58773,75.23786,60.69439,264.0507,382.3718
205,0.5168653,2.66503,4.730121,10.89645,47.58732,75.23793,60.69433,264.05,382.3713
206,0.5168371,2.665265,4.730079,10.89649,47.58694,75.23801,60.69425,264.0492,382.3708
207,0.5168092,2.665509,4.730034,10.89651,47.58657,75.23808,60.69416,264.0486,382.3702
208,0.5167812,2.665761,4.729994,10.89651,47.58622,75.23817,60.69409,264.0479,382.3697
209,0.5167534,2.666019,4.729954,10.89648,47.58589,75.23824,60.69402,264.0473,382.3692
210,0.5167258,2.666285,4.729915,10.89645,47.58558,75.2383,60.69394,264.0467,382.3688
211,0.5166985,2.666555,4.729877,10.89639,47.58529,75.23838,60.69386,264.0462,382.3683
212,0.5166714,2.66683,4.72984,10.89631,47.585,75.23844,60.69378,264.0457,382.3678
213,0.5166444,2.667107,4.729806,10.89622,47.58477,75.2385,60.6937,264.0452,382.3672
214,0.5166178,2.667388,4.729774,10.89612,47.58455,75.23854,60.69363,264.0448,382.3669
215,0.5165912,2.66767,4.729744,10.89599,47.58436,75.2386,60.69355,264.0444,382.3664
216,0.516565,2.667953,4.729715,10.89585,47.5842,75.23864,60.69347,264.0441,382.3659
